"maxTp","minTp","date"
"16.7 °C","1.2 °C","Tue Jan 05 00:00:00 CET 2021"
"10.9 °C","-4.1 °C","Sat Mar 13 00:00:00 CET 2021"
"24.4 °C","9.3 °C","Thu Sep 02 00:00:00 CEST 2021"
"23.1 °C","10.5 °C","Sun Jul 25 00:00:00 CEST 2021"
"12.9 °C","0.6 °C","Sun Dec 20 00:00:00 CET 2020"
"23.4 °C","9.3 °C","Wed Jun 09 00:00:00 CEST 2021"
"10.6 °C","3.8 °C","Tue Oct 19 00:00:00 CEST 2021"
"12.2 °C","0.8 °C","Thu Mar 18 00:00:00 CET 2021"
"13.3 °C","8.7 °C","Thu Sep 09 00:00:00 CEST 2021"
"14.7 °C","1.7 °C","Sat Sep 11 00:00:00 CEST 2021"
"13.5 °C","5.5 °C","Sun Jan 31 00:00:00 CET 2021"
"12.3 °C","1.9 °C","Thu Dec 31 00:00:00 CET 2020"
"24 °C","12.9 °C","Thu Apr 29 00:00:00 CEST 2021"
"30.4 °C","12.5 °C","Sat May 15 00:00:00 CEST 2021"
"15.2 °C","4 °C","Sun Apr 18 00:00:00 CEST 2021"
"24.1 °C","9.8 °C","Fri Jul 02 00:00:00 CEST 2021"
"24.4 °C","11.4 °C","Tue Jun 01 00:00:00 CEST 2021"
"16.8 °C","2.8 °C","Mon Apr 12 00:00:00 CEST 2021"
"16 °C","9.9 °C","Sun Jan 03 00:00:00 CET 2021"
"21.1 °C","5.3 °C","Thu Mar 25 00:00:00 CET 2021"
"8.9 °C","0.7 °C","Wed Dec 23 00:00:00 CET 2020"
